room,id,rssi
Office,E834AAA0-5049-34E4-BFCA-2D38C282CC37,-75.0
Office,C89F2066-D85B-7A21-E292-A1735A30A295,-88.0
Office,994DB8A1-903B-3C57-DC8E-2D2896200A03,-88.0
Office,DB047FFD-D211-EDF3-345E-1FE933920DC2,-95.0
Office,A8645C17-7D9F-0026-D230-9794C03429A5,-96.0
Office,AB8FA414-1C59-7DE7-F7EF-87C6CF2A303B,-87.0
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-80.0
Office,216D23F7-E6A1-7727-A3D5-91C76258F327,-80.0
Office,0A00F465-0195-CCB3-EF79-5907C6349690,-93.0
Office,1A00846F-BC21-4A6F-6D68-8EDE41951F22,-91.0
Office,8C41ED50-7BAD-FF26-DDFA-3B7885928FB8,-91.0
Office,D8C496A3-3831-2C73-70BC-2EB0567A5416,-92.0
Office,E6C5F919-A685-36B9-C19A-D05D86BC5D22,-86.0
Office,6F0C67B0-EE52-C6F1-2592-0AE4B3ED61B1,-53.0
Office,B89FBB9D-775D-150A-6282-AFC13CA540E5,-88.0
Office,B357E51B-1007-33A4-CE34-EBA4EE6FF6D5,-53.0
Office,73F9C92F-340B-CA83-81CB-897AF5315FF8,-78.0
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0
Office,CAE2BE3E-B63F-5097-CFAD-2C31928CDD77,-75.0
Office,3725078A-52E6-7AE4-CE46-6C9092045330,-79.0
Office,E47AE5B0-E120-8C50-9C80-EDDA0EE1382F,-84.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-97.0
Office,90662E08-A022-5AF1-06DE-12926F210458,-65.0
Office,584E0854-B480-2B8F-47B3-6C5D118B94A6,-50.0
Office,A856D886-7B2F-D44C-5096-363C4BDEB729,-59.0
Office,B210D423-416D-1F40-2CCD-20C41A4958E9,-92.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0
Office,795180E9-7F49-C336-7965-DC700A189BED,-87.0
Office,CDC3419C-863A-D4EB-AD61-3FA87F76D7B2,-81.0
Office,C515D8FF-1F70-7262-0C58-1A988AD33B43,-54.0
Office,11FE69C7-7DD2-13AF-1493-7B63E92D5B0D,-95.0
Office,5D1A5025-7182-A892-95D1-ACE3464B4D9F,-93.0
Office,584E0854-B480-2B8F-47B3-6C5D118B94A6,-60.0
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-81.0
Office,308326E1-4AAE-C885-DABC-7092648E5F6E,-62.0
Office,EE187CCB-4C03-CCE1-0504-A44629F158A1,-96.0
Office,2519C39F-8C09-AE13-E859-54BAD0C1725B,-94.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0
Office,0CEE321F-A7E8-655D-02C3-3D57843068E5,-91.0
Office,401F9213-B227-4110-A5BD-442D8AE0CF12,-87.0
Office,38D9F6F6-ACB4-3B9E-F0F3-5DA8FABF46B7,-94.0
Office,9585A0D0-1BDE-07A5-E45A-B6CB4272B422,-94.0
Office,CA5B7A60-791C-CDDD-68C6-9616D816E37C,-56.0
Office,11606ED6-F032-3EE9-FD98-CDF414277D83,-93.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0
Office,B678F16D-CF53-653C-9EFB-DAFB8EC4E47F,-91.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-96.0
Office,73BF97E2-6A65-38E4-5BB1-1A22C0D8A42C,-94.0
Office,62C3DB27-DC12-A92F-0D0E-DCAB7E0FDB86,-85.0
Office,E093FFC9-1143-EA79-671E-2D63D8060886,-67.0
Office,7F469658-4C70-3B9A-6350-1A70ECC86130,-80.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0
Office,05E41F49-FD25-6606-4BB1-52DA9FBF5637,-97.0
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-75.0
Office,DFE3B886-9A70-FF51-B6B9-D3F1A3AC7BF3,-98.0
Office,103623F7-8B28-61A8-8047-526D08790990,-99.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0
