room,id,rssi,time,name
Office,8FAEB052-9E7A-078A-C55A-84B24C67A580,-96.0,742178655.903258,S16 A0C2 LE
Office,B678F16D-CF53-653C-9EFB-DAFB8EC4E47F,-94.0,742178655.908408,ZT203985000549A1216
Office,006BA0EF-EA4F-7B54-336F-D7AA140BB0B5,-98.0,742178656.140402,
Office,433ED563-FFD2-8369-783B-A6B3A2F20929,-93.0,742178656.352456,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742178656.425821,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742178656.434005,
Office,A765EF6B-4DA8-6363-4CE2-8470D5853458,-92.0,742178656.509559,Pura-E57C
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-85.0,742178656.550503,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742178656.575618,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742178656.694215,
Office,433ED563-FFD2-8369-783B-A6B3A2F20929,-89.0,742178656.744623,S41 B778 LE
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742178657.189989,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-82.0,742178657.19854,
Office,C00DBDDE-30BD-6CB1-6FCA-C18FD0A5A599,-99.0,742178657.303694,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742178657.32387,
Office,EE187CCB-4C03-CCE1-0504-A44629F158A1,-98.0,742178657.332515,ZT201785000549A0460
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-94.0,742178657.443299,
Office,C3F21C1F-C6FF-AB28-E359-34E3E4AB1404,-95.0,742178657.451155,LE-Bose QC Earbuds
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742178657.478044,
Office,CD6D44AC-BBED-5FE0-05A5-61569A4EF4E6,-68.0,742178657.59442,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-76.0,742178657.620479,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742178657.691575,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742178657.813946,
Office,7474E9F4-86E6-A19D-E3A2-525A11D1C4CE,-96.0,742178657.875102,
Office,7474E9F4-86E6-A19D-E3A2-525A11D1C4CE,-97.0,742178657.881894,S39 B040 LE
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742178658.195709,
Office,96BD47D1-583B-5E12-CD2B-16072FBB9D8E,-90.0,742178658.211144,
Office,3F2CD822-CDB8-AD35-BDAA-C0F37BBC0FEC,-92.0,742178658.224298,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742178658.439192,
Office,E55327E0-3D8A-DA01-F2EB-3C04A8E18733,-90.0,742178658.570722,
Office,0A00F465-0195-CCB3-EF79-5907C6349690,-100.0,742178658.745414,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-89.0,742178658.83115,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742178659.134692,
Office,6C9DCF15-E841-B5A3-34F0-14789C678F45,-99.0,742178659.232285,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742178659.429662,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-80.0,742178659.590463,
Office,94E3DEAA-B0EE-6198-BC76-3548C6BD05BD,-87.0,742178659.807334,NUKD6
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-86.0,742178659.840139,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742178660.174241,
Office,02B1E6AA-6C57-2A82-2D9B-C11FA6BD4B67,-99.0,742178660.433618,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0,742178660.628873,Maliha’s Room
Office,12822E3F-C869-980C-D8AE-AF65D7180C61,-89.0,742178661.186034,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742178661.232011,
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-98.0,742178661.649648,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742178661.676393,
Office,6079A6DB-B981-0D01-D93D-04CBAEA186B0,-98.0,742178661.815271,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-80.0,742178661.906386,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-97.0,742178662.285962,
